Spreadsheet: test items,BA ,Accuracy,mode,Participant,Category
媽媽眼明手快的從人群中一把抓住特價商品。,否,1,human,11990828,Classifier
約翰每一把都贏。,否,1,human,11990828,Classifier
約翰運用了二胡、把烏和戲曲鑼鼓點等民樂因素。,否,0,human,11990828,The N component of V-N Compound Noun
他把悲傷化成力量。,是,1,human,11990828,SCS
天氣把我冷得直打顫。,是,1,human,11990828,SCS
面對各種誘惑，要學習把持得住。,否,1,human,11990828,The V component of V-V Compound Verb
清淡的交投並無法把油價推升至二十五美元以上。,是,1,human,11990828,VDO
那個女孩把手帕哭得沒有人敢摸。,是,1,human,11990828,SCO
學校把書賣給學生。,是,1,human,11990828,VDO
約翰把玩著魔術方塊。,否,1,human,11990828,The V component of V-V Compound Verb
他把水燒了半天。,是,1,human,11990828,VDO
約翰用把手開鎖。,否,1,human,11990828,The N component of N-N Compound Noun
帥哥把妹很容易。,否,1,human,11990828,The V component of V-N Compound Verb
球拍握把要定期更換。,否,1,human,11990828,The N component of V-N Compound Noun
呼籲選民在年底立委選舉中把票投給愛台灣的人。,是,1,human,11990828,VDO
超市裡三把蔥特價五十塊。,否,1,human,11990828,Classifier
芭蕾把桿是芭蕾舞者的必備工具。,否,1,human,11990828,The N component of N-N Compound Noun
用意就是要讓業者好好思考要把票投給誰。,是,1,human,11990828,VDO
要懂得把握時機才能爭取升職。,否,1,human,11990828,The V component of V-V Compound Verb
教育部希望把技職體系大專院校數提高到與一般大學數量相當。,是,1,human,11990828,VDO
只有先把政治議題放一邊才能建立彼此信任。,是,1,human,11990828,SCS
老師手把手教小明寫作業。,否,1,human,11990828,The V component of N-V-N Phrase
兇手推了約翰一把。,否,1,human,11990828,Classifier
歹徒身旁散落著兩把手槍。,否,1,human,11990828,Classifier
新款吹風機設計成超好握的握把。,否,1,human,11990828,The N component of V-N Compound Noun
把門將士抵擋不住敵人攻城。,否,1,human,11990828,The V component of V-N Compound Verb
新球拍的握把很好握。,否,1,human,11990828,The N component of V-N Compound Noun
媽媽拿著一把刀切菜。,否,1,human,11990828,Classifier
提起修理手錶，陳師傅可是老把式呢。,否,1,human,11990828,The N component of N-N-N Compound Noun
他把橘子剝了皮。,是,1,human,11990828,SCS
這瓶酒把李四醉得站不起來。,是,1,human,11990828,SCS
他在一個鐘頭內把窗戶洗得很乾淨。,是,1,human,11990828,SCS
九把刀的新書讓約翰愛不釋手。,否,1,human,11990828,The N component of N-N-N Compound Noun
國際石油組織將把日產量減產五十萬桶。,是,1,human,11990828,SCS
他把腿走得很酸。,是,1,human,11990828,SCS
他把我冷得直哆嗦。,是,1,human,11990828,SCS
新款握把布改良了舊款的缺點。,否,1,human,11990828,The N component of V-N-N Compound Noun
他希望把這個獎與所有中國人分享。,是,1,human,11990828,VDO
委員把修法過程像錄影帶般倒帶。,是,1,human,11990828,VDO
盡情把酒言歡是老王的夢想。,否,1,human,11990828,The V component of V-N-V-N Compound Verb
趙六把持著整個公司的運作。,否,1,human,11990828,The V component of V-V Compound Verb
他總是把家保持得很乾淨。,是,1,human,11990828,SCS
警方在去年十二月把執法焦點由打擊毒品轉移至網路犯罪。,是,1,human,11990828,VDO
我會把書放在桌上。,是,1,human,11990828,VDO
政府替人民把關食品安全。,否,1,human,11990828,The V component of V-N Compound Verb
新聞局應該把自己做的廣告拿出來看一看。,是,1,human,11990828,VDO
車門門把生鏽了。,否,1,human,11990828,The N component of N-N Compound Noun
未來有可能會把這些勞動規約標準統一化。,是,1,human,11990828,VDO
我把字典借給老王。,是,1,human,11990828,VDO
我們得先把這問題想一想。,是,1,human,11990828,VDO
這把戲偵探一眼就看破了。,否,1,human,11990828,The N component of N-N Compound Noun
他把手摀在耳朵上。,是,1,human,11990828,VDO
老王把持健康的生活態度，期盼能長命百歲。,否,1,human,11990828,The V component of V-V Compound Verb
約翰對考一百分有十足的把握。,否,1,human,11990828,The V component of V-V Compound Verb
媽媽要小明再加把勁。,否,1,human,11990828,Classifier
他把你恨透了。,是,1,human,11990828,VDO
歹徒一把火燒光了她家。,否,1,human,11990828,Classifier
他希望把這個獎獻給他的太太和兒子。,是,1,human,11990828,VDO
他把這電影看了三遍。,是,1,human,11990828,VDO
